,병원이름,별점,리뷰수,주소,전화
0,마음을 읽어주는 마음동물병원,5.0,3건,"('대구 수성구 화랑로 16', '(지번) 만촌동 414-9')",053-741-7474
1,대구 시지종합동물병원,4.2,10건,"('대구 수성구 달구벌대로 3014', '(지번) 시지동 462-121')",053-791-5945
2,24시 범어동물의료센터,,,"('대구 수성구 달구벌대로 2354 1층', '(지번) 수성동3가 10')",053-716-7585
3,대구24시바른동물의료센터,,,"('대구 달서구 와룡로 142 2층', '(지번) 감삼동 280-5')",053-571-0075
4,본동물메디컬센터 24시수성점,3.4,5건,"('대구 수성구 달구벌대로 2545 1층', '(지번) 만촌동 1036-4')",053-634-7582
5,24시알파동물메디컬센터,4.0,4건,"('대구 서구 서대구로 15 1,2층', '(지번) 내당동 469-1')",053-572-7585
6,탑스동물메디컬센터,3.7,18건,"('대구 달서구 월배로 166 탑스빌딩', '(지번) 상인동 1439-1')",053-637-7501
7,본동물메디컬센터 외과동물병원,5.0,5건,"('대구 달서구 월배로 165', '(지번) 진천동 44-4')",053-634-7582
8,박순석 동물메디컬센터,5.0,1건,"('대구 남구 대명로 72 더원빌딩 2층', '(지번) 대명동 1057')",053-657-0959
9,죽전동물메디컬센터,2.1,15건,"('대구 달서구 달구벌대로 1580 1,2,7층', '(지번) 감삼동 140-32')",053-567-7575
10,대구동물메디컬센터,,,"('대구 수성구 동대구로 36', '(지번) 지산동 1051')",
11,플러스동물의료센터,4.5,11건,"('대구 북구 중앙대로 526 2층', '(지번) 칠성동2가 371-2')",053-424-2455
12,박물관옆동물병원,5.0,6건,"('대구 달서구 구마로 136 1층', '(지번) 본동 821-1')",053-526-8234
13,동인동물병원,3.7,3건,"('대구 중구 국채보상로 724', '(지번) 동인동4가 332')",053-424-4311
14,대구24시 라이프동물의료센터,5.0,4건,"('대구 달서구 달구벌대로 1601 1층', '(지번) 감삼동 69-1')",053-567-2475
15,25시죽곡동물병원,5.0,1건,"('대구 달성군 다사읍 대실역남로 34 태양빌딩 204호', '(지번) 다사읍 죽곡리 813')",053-587-8765
16,마루동물병원,5.0,2건,"('대구 수성구 청수로 101 1층', '(지번) 황금동 889-6')",053-768-1002
17,화원연합동물병원,5.0,3건,"('대구 달성군 화원읍 사문진로 447', '(지번) 화원읍 천내리 156-5')",053-634-7975
18,경북대학교 수의과대학부속동물병원,3.0,4건,"('대구 북구 대학로 80', '(지번) 대현동 25')",053-950-6898
19,조은동물의료원,3.9,7건,"('대구 수성구 달구벌대로 2644', '(지번) 만촌동 854-1')",053-742-0075
20,현풍동물병원,1.0,1건,"('대구 달성군 유가읍 테크노공원로 51 봉리타워 205호', '(지번) 유가읍 봉리 613')",053-614-3570
21,이스턴24시동물병원,5.0,4건,"('대구 동구 반야월로 140', '(지번) 신기동 179-5')",053-964-0750
22,센트럴동물병원,4.6,11건,"('대구 중구 달구벌대로 1943 대신이편한세상 상가동 2층', '(지번) 대신동 1426')",053-214-5577
23,메디펫동물병원,5.0,1건,"('대구 수성구 동대구로 24', '(지번) 지산동 1054-1')",053-761-8875
24,닥터허동물병원,5.0,1건,"('대구 수성구 명덕로 421', '(지번) 수성동2가 60-1')",053-752-7535
25,동천동물병원,3.8,4건,"('대구 북구 동천로24길 3 1층', '(지번) 동천동 909-4')",053-323-8875
26,유니온동물의료센터,5.0,2건,"('대구 수성구 청수로 135', '(지번) 황금동 848-1')",053-762-8899
27,이서동물병원,5.0,4건,"('대구 달서구 구마로 243', '(지번) 성당동 263-4')",053-719-0205
28,선 동물병원,5.0,1건,"('대구 수성구 화랑로 102', '(지번) 만촌동 1328-13')",053-746-0031
29,원동물병원,5.0,3건,"('대구 중구 동덕로8길 2', '(지번) 대봉동 40-135')",053-255-8275
30,에피소드동물병원,5.0,9건,"('대구 수성구 달구벌대로 2660 토라빌딩 1층', '(지번) 만촌동 859-2')",053-745-7975
31,포산동물병원,3.0,2건,"('대구 달성군 현풍읍 비슬로 614-1', '(지번) 현풍읍 원교리 60')",053-616-2478
32,M수성메트로동물병원,5.0,4건,"('대구 수성구 국채보상로 1006', '(지번) 만촌동 950-1')",053-755-8355
33,박영우안과동물병원,0.0,0건,"('대구 중구 달구벌대로 2208', '(지번) 대봉동 20-65')",
34,태전동물병원,,,"('대구 북구 칠곡중앙대로 373', '(지번) 태전동 1068')",053-357-7588
35,이솝동물병원,4.0,3건,"('대구 달서구 비슬로 2692', '(지번) 대곡동 7-6')",053-631-0209
36,25시 종합동물병원,0.0,0건,"('대구 달서구 월배로 330-1', '(지번) 송현동 798-244')",053-651-1101
37,제니스동물병원,5.0,2건,"('대구 수성구 달구벌대로 2475', '(지번) 범어동 167-18')",053-756-8290
38,24시프라임동물병원,2.6,14건,"('대구 달서구 비슬로 2746', '(지번) 대곡동 964')",053-631-9966
39,비슬동물병원,5.0,1건,"('대구 달성군 유가읍 테크노상업로 120 엠쓰퀘어 1층 103호', '(지번) 유가읍 봉리 619')",053-616-2480
40,준동물병원,5.0,2건,"('대구 북구 공항로 12', '(지번) 복현동 209-1')",053-475-0079
41,아프리카 연합동물병원,1.8,5건,"('대구 북구 침산로 116', '(지번) 침산동 241-1')",053-291-3336
42,디에스동물메디컬,5.0,2건,"('대구 달성군 다사읍 죽곡1길 13-3', '(지번) 다사읍 죽곡리 808-5')",053-593-2842
43,정동물병원,,,"('대구 수성구 지산로 41', '(지번) 지산동 1259-6')",053-781-6566
44,범어동물병원,4.5,2건,"('대구 수성구 범어로 119', '(지번) 범어2동 147-35')",053-751-9323
45,김박사의위드동물병원,5.0,4건,"('대구 달서구 월배로 93', '(지번) 진천동 576-1')",053-639-0788
46,시지W동물의료센터,0.0,0건,"('대구 수성구 달구벌대로 3223 1층', '(지번) 신매동 362-4')",053-721-7879
47,명곡역동물병원,4.3,11건,"('대구 달성군 화원읍 비슬로 2490 1~2층', '(지번) 화원읍 명곡리 213')",053-633-7579
48,대경동물병원약품,0.0,0건,"('대구 동구 동대구로 425', '(지번) 신천3동 137-4')",053-745-4571
49,수성동물병원,5.0,1건,"('대구 수성구 수성로 151', '(지번) 중동 400-10')",053-763-8855
50,우리동물병원,5.0,2건,"('대구 남구 봉덕로 84', '(지번) 봉덕3동 555-9')",053-741-7573
51,한마음동물병원,5.0,1건,"('대구 달서구 두류공원로 267', '(지번) 두류동 472-8')",053-555-7585
52,굿모닝동물병원,5.0,1건,"('대구 북구 대천로 72-1', '(지번) 동천동 932-4')",053-324-0116
53,미소동물병원,5.0,2건,"('대구 달서구 와룡로 156', '(지번) 감삼동 171-4')",053-565-7175
54,대구S동물병원,4.7,3건,"('대구 중구 달구벌대로 1975', '(지번) 대신동 305-1')",053-426-7588
55,두남자 동물병원,0.0,0건,"('대구 달서구 월배로 48', '(지번) 진천동 657-1')",053-721-7585
56,대구착한동물병원,4.0,2건,"('대구 달성군 다사읍 서재로12길 26 1층', '(지번) 다사읍 서재리 181')",053-710-7582
57,올리브동물병원,3.7,3건,"('대구 북구 동북로 131 105동 108,109호', '(지번) 산격동 1838')",053-383-0075
58,세븐동물병원,5.0,2건,"('대구 북구 팔거천동로 210', '(지번) 동천동 905-2')",053-324-8875
59,사랑동물병원,5.0,2건,"('대구 수성구 달구벌대로 2259', '(지번) 수성동4가 1236-44')",053-742-4810
60,두류동물병원,5.0,3건,"('대구 달서구 성당로 21', '(지번) 성당동 211-3')",053-651-7582
61,현대동물병원,1.0,2건,"('대구 남구 봉덕로 89', '(지번) 봉덕동 554-2')",053-473-2255
62,올펫동물병원,2.0,1건,"('대구 수성구 수성로 85 1층', '(지번) 상동 279-2')",053-764-7582
63,도담동물병원,5.0,1건,"('대구 달성군 현풍읍 테크노중앙대로 243 1층', '(지번) 현풍읍 중리 491-2')",053-716-7582
64,명진동물병원,5.0,8건,"('대구 동구 아양로 81', '(지번) 신암동 576-20')",053-943-8275
65,21세기종합동물병원,0.0,0건,"('대구 동구 아양로 216', '(지번) 효목1동 64-6')",053-959-0121
66,테크노연합동물병원,1.0,1건,"('대구 달성군 유가읍 테크노중앙대로6길 2-4', '(지번) 유가읍 봉리 583-2')",053-617-8875
67,용산 동물병원,0.0,0건,"('대구 달서구 달구벌대로 1658', '(지번) 감삼동 105-1')",053-562-1132
68,더펫동물병원,5.0,1건,"('대구 서구 서대구로 361 2층', '(지번) 비산동 1302-9')",053-352-0622
69,로얄동물병원,,,"('대구 수성구 들안로 412 1층', '(지번) 범어3동 1161')",053-742-7275
70,서대구동물병원,4.0,1건,"('대구 서구 국채보상로 270 1층', '(지번) 평리동 1217-24')",053-219-7579
71,삼성동물병원,5.0,1건,"('대구 서구 서대구로 37', '(지번) 내당동 245-16')",053-556-8575
72,삼덕동물병원,1.0,2건,"('대구 중구 달구벌대로 2145-1', '(지번) 삼덕동1가 41-14')",053-426-1731
73,119동물병원,5.0,4건,"('대구 달성군 다사읍 달구벌대로 893 102호', '(지번) 다사읍 매곡리 1551-1')",053-585-1195
74,그랜드벳,1.3,3건,"('대구 수성구 달구벌대로 3249', '(지번) 신매동 261-16')",053-794-7975
75,수호동물병원,5.0,4건,"('대구 동구 팔공로51길 3 이시아시티빌딩 에이동 2층 205호', '(지번) 봉무동 1539-3')",053-982-0275
76,어진동물병원,5.0,2건,"('대구 달서구 월배로 182 2층', '(지번) 상인동 255-2')",053-638-8275
77,예스동물병원,5.0,3건,"('대구 수성구 동대구로 207', '(지번) 황금동 676-4')",053-763-7542
78,율하동물병원,5.0,1건,"('대구 동구 율하서로 54 대신빌딩 1층', '(지번) 율하동 1292')",053-964-7588
79,열린 동물병원,5.0,2건,"('대구 동구 아양로 17', '(지번) 신암1동 799-1')",053-952-7227
80,옥포태양동물병원,0.0,0건,"('대구 달성군 옥포읍 돌미로 67 대운빌딩 101호', '(지번) 옥포읍 교항리 2913')",053-617-0313
81,페츠업동물병원,3.3,4건,"('대구 서구 서대구로 136', '(지번) 평리4동 1371-3')",053-555-0051
82,북부동물병원,5.0,2건,"('대구 북구 대현로 27', '(지번) 대현동 229-19')",053-941-1529
83,대구혁신메디컬 동물병원,0.0,0건,"('대구 동구 메디밸리로 13 1층 110~112호', '(지번) 대림동 890-2')",053-964-2275
84,오구오구동물병원,0.0,0건,"('대구 수성구 달구벌대로 3313 2층', '(지번) 사월동 421-1')",
85,문종합동물병원,3.0,2건,"('대구 달서구 달구벌대로 1328', '(지번) 이곡동 1000-125')",053-582-3363
86,초록동물병원,2.3,3건,"('대구 달서구 월배로 79', '(지번) 진천동 595-26')",053-638-1558
87,하나동물병원,0.0,0건,"('대구 달서구 조암남로 9', '(지번) 상인동 1595-3')",053-631-5575
88,달성축산동물병원,1.0,1건,"('대구 달성군 현풍읍 원교길 6', '(지번) 현풍읍 원교리 588')",053-614-3775
89,비타민동물병원,0.0,0건,"('대구 북구 복현로 127', '(지번) 복현동 73')",053-383-1199
90,리즈동물병원,5.0,1건,"('대구 수성구 들안로 50', '(지번) 두산동 138-18')",053-764-8275
91,박동물병원,0.0,0건,"('대구 동구 아양로 227', '(지번) 신암동 1476')",053-959-3959
92,앨리스 동물병원,1.0,5건,"('대구 동구 반야월로 334', '(지번) 신서동 621-22')",053-963-0775
93,키다리동물병원,5.0,1건,"('대구 북구 학정로 440', '(지번) 구암동 765-2')",053-312-7553
94,독사랑동물병원,4.2,5건,"('대구 남구 중앙대로 150', '(지번) 봉덕동 1298-3')",
95,순풍동물병원,0.0,0건,"('대구 북구 학정로 149', '(지번) 태전동 1195')",053-326-2557
96,대구동물심장내과,5.0,2건,"('대구 중구 명덕로 315 1층', '(지번) 대봉동 195-31')",053-423-8275
97,신세계동물병원,2.3,3건,"('대구 수성구 명덕로 393', '(지번) 수성동1가 218-4')",053-751-6693
98,가나동물병원,0.0,0건,"('대구 북구 산격로 109', '(지번) 산격동 1216-4')",053-941-0075
99,행복동물병원,0.0,0건,"('대구 동구 동부로 221', '(지번) 효목동 291-13')",
100,고려애견종합병원,0.0,0건,"('대구 중구 중앙대로 333', '(지번) 남산동 661-10')",053-256-6100
101,라라동물병원,3.7,3건,"('대구 북구 침산로 153', '(지번) 침산동 269-10')",053-354-1122
102,애플동물병원,5.0,1건,"('대구 달서구 진천로 78 2층', '(지번) 진천동 574-1')",053-633-1175
103,해솔동물병원,5.0,2건,"('대구 북구 신암로 73 1층', '(지번) 대현동 340-15')",053-959-7775
104,라파동물병원,0.0,0건,"('대구 달서구 장기로 207 1층', '(지번) 본리동 62-6')",053-557-7582
105,펫동물병원,5.0,5건,"('대구 수성구 달구벌대로 3144', '(지번) 노변동 4-2')",053-474-9820
106,온누리동물병원,0.0,0건,"('대구 달서구 달구벌대로 1220', '(지번) 이곡2동 541-9')",053-584-2757
107,복현동물병원,0.0,0건,"('대구 북구 동북로 193', '(지번) 산격동 495-42')",053-959-1523
108,금강동물병원,1.0,2건,"('대구 수성구 동원로 150', '(지번) 만촌1동 1326-8')",053-746-7111
109,이룸동물병원,0.0,0건,"('대구 달서구 한실로 99 1층', '(지번) 도원동 1436-9')",053-636-8272
110,구지동물병원,0.0,0건,"('대구 달성군 구지면 창리로11길 34', '(지번) 구지면 창리 429-9')",053-614-4939
111,서재동물병원,5.0,4건,"('대구 달성군 다사읍 서재로 140 서림빌딩 2층', '(지번) 다사읍 서재리 134-1')",053-585-5225
112,다사종합동물병원,4.0,4건,"('대구 달성군 다사읍 달구벌대로 836', '(지번) 다사읍 죽곡리 23-6')",053-591-7581
113,보경동물병원,0.0,0건,"('대구 서구 달서로 165', '(지번) 비산동 511-48')",053-559-9020
114,남산연합동물병원,5.0,3건,"('대구 중구 남산로6안길 47 로하스남산 1층 101호', '(지번) 남산동 2118-2')",053-421-7582
115,더나은동물병원,3.0,2건,"('대구 달서구 도원로 11', '(지번) 도원동 1435')",053-477-7582
116,오원석황금동물병원,1.0,1건,"('대구 중구 동덕로 56-3', '(지번) 대봉동 48-13')",053-767-1177
117,멘토동물병원,3.5,6건,"('대구 수성구 용학로 294 덕암빌딩 2층', '(지번) 범물동 1271-2')",053-291-7579
118,다사랑종합동물병원,0.0,0건,"('대구 동구 신암로 86-1', '(지번) 신암동 1196-57')",053-942-0805
119,칠곡종합동물병원,0.0,0건,"('대구 북구 칠곡중앙대로 301', '(지번) 태전동 415-1')",053-311-8275
120,가람동물병원,3.0,2건,"('대구 달서구 월곡로 249', '(지번) 상인2동 240-9')",053-639-6366
121,광장동물병원,2.3,3건,"('대구 달서구 달구벌대로 1736', '(지번) 두류3동 487-25')",053-653-5549
122,중부동물병원,3.0,2건,"('대구 중구 달구벌대로 2114', '(지번) 봉산동 53-2')",053-253-8278
123,더난동물병원,1.5,2건,"('대구 서구 국채보상로 176', '(지번) 중리동 33-4')",053-552-0075
124,세인트동물병원,5.0,2건,"('대구 수성구 청호로 484', '(지번) 만촌동 1025-35')",053-744-8285
125,리더스동물병원,1.0,1건,"('대구 남구 대명로 121', '(지번) 대명10동 1636-19')",053-629-0075
126,따뜻한온동물병원,3.0,2건,"('대구 수성구 달구벌대로 2367 한도맨션 상가 103호', '(지번) 수성동4가 985-35')",053-751-7588
127,대구동물병원,0.0,0건,"('대구 동구 동부로 34', '(지번) 신천동 538-22')",053-426-7011
128,앨리스인동물병원,0.0,0건,"('대구 달서구 조암로 4 105호', '(지번) 월성동 1811')",053-638-7585
129,헬로우동물병원,5.0,3건,"('대구 달서구 선원로 262', '(지번) 용산동 499-1')",053-592-5930
130,감자동물병원,5.0,3건,"('대구 수성구 달구벌대로 3179 1층', '(지번) 매호동 1344-21')",053-795-5589
131,알프스동물병원,4.4,7건,"('대구 남구 대덕로 149', '(지번) 봉덕3동 562-15')",053-473-0815
132,변수의과동물병원,4.0,8건,"('대구 동구 동촌로 154', '(지번) 검사동 957-41')",053-983-2069
133,킴스동물병원,0.0,0건,"('대구 동구 화랑로 413 1층', '(지번) 방촌동 1118-120')",053-985-9757
134,다온동물병원,0.0,0건,"('대구 북구 칠곡중앙대로 189', '(지번) 태전동 1113')",053-312-7975
135,돌봄동물메디컬클리닉,1.0,1건,"('대구 달서구 조암로 48 원더풀스파랜드 2층 203호', '(지번) 월성동 818-4')",053-631-7975
136,닥터오동물병원,0.0,0건,"('대구 달서구 조암로 42 플러스타워 101호', '(지번) 월성동 1832')",053-641-1050
137,늘푸른종합동물병원,1.0,1건,"('대구 북구 칠곡중앙대로 471 1층', '(지번) 관음동 1386-7')",053-322-9075
138,연경동물병원,0.0,0건,"('대구 북구 동화천로 241', '(지번) 연경동 960')",053-985-7550
139,스마트동물병원,1.0,4건,"('대구 수성구 동대구로 247', '(지번) 범어동 774-45')",053-762-7942
140,이천종합동물병원,5.0,1건,"('대구 남구 봉덕로 83', '(지번) 봉덕1동 554-10')",053-474-2266
141,효성동물병원,5.0,2건,"('대구 남구 신촌길 101', '(지번) 봉덕동 1045-20')",053-474-1119
142,남부동물병원,0.0,0건,"('대구 남구 두류공원로 18-2', '(지번) 대명동 807-5')",053-654-1444
143,더문동물병원,5.0,1건,"('대구 북구 내곡로 81', '(지번) 사수동 799')",053-322-1223
144,지산동물병원,5.0,2건,"('대구 수성구 지범로 89', '(지번) 지산1동 1258-13')",053-784-5080
145,다원동물병원,3.0,4건,"('대구 수성구 달구벌대로 3258', '(지번) 신매동 183')",053-792-0788
146,나라동물병원,5.0,2건,"('대구 수성구 수성로 185 수성골드클래스더센텀 상가 116호', '(지번) 중동 356-7')",053-766-9350
147,수목원동물병원,4.5,2건,"('대구 달서구 갈밭로4길 20', '(지번) 대곡동 1071-2')",053-637-5287
148,이시아동물병원,0.0,0건,"('대구 동구 팔공로 320-1', '(지번) 봉무동 1520-1')",053-984-7599
149,대경연합동물영상센터,0.0,0건,"('대구 남구 현충로 228', '(지번) 대명동 1897-7')",053-721-7565
150,동산동물병원,0.0,0건,"('대구 중구 서성로 34', '(지번) 남성로 1')",053-254-3366
151,힐링동물병원,5.0,2건,"('대구 달성군 다사읍 달구벌대로 844', '(지번) 다사읍 죽곡리 산 61-2')",053-586-5575
152,강동물병원,0.0,0건,"('대구 북구 칠곡중앙대로 483', '(지번) 관음동 1383-14')",053-325-7579
153,아이펫동물병원,1.0,1건,"('대구 서구 서대구로 64', '(지번) 평리4동 1360')",053-573-1175
154,캣츠&독스동물병원,4.5,2건,"('대구 수성구 달구벌대로 2287-1', '(지번) 수성동4가 1186-76')",053-759-8575
155,자연과함께하는 동물병원,0.0,0건,"('대구 서구 통학로15길 8-1', '(지번) 평리동 1193-21')",
156,와이동물병원,3.0,2건,"('대구 수성구 달구벌대로 3116-1', '(지번) 시지동 258-13')",053-791-7532
157,박순복동물병원,0.0,0건,"('대구 동구 아양로 246', '(지번) 효목1동 80-7')",053-942-3759
158,쿨펫동물병원,1.0,2건,"('대구 동구 안심로 389-2', '(지번) 신서동 520-1')",053-965-7975
159,곰아저씨동물병원,3.7,3건,"('대구 수성구 들안로 354', '(지번) 수성동4가 1017-32')",053-746-5575
160,쿨펫동물병원,5.0,2건,"('대구 동구 안심로 80 롯데마트 4층', '(지번) 율하동 1117')",053-607-2754
161,아양동물병원,0.0,0건,"('대구 동구 팔공로 142', '(지번) 불로동 460-23')",
162,예일동물병원,0.0,0건,"('대구 수성구 지산로 55-1', '(지번) 지산1동 1268-14')",053-783-1717
163,도그플러스 칠곡점,2.3,3건,"('대구 북구 동암로12길 8', '(지번) 동천동 968')",053-314-0075
164,해맑은동물병원,5.0,1건,"('대구 달서구 월배로 80', '(지번) 진천동 508')",053-633-8811
165,범일가축병원,0.0,0건,"('대구 수성구 동대구로 207', '(지번) 황금동 676-4')",053-764-8585
166,제일동물병원,0.0,0건,"('대구 수성구 달구벌대로454길 3', '(지번) 수성동1가 93-8')",
167,동명동물병원,0.0,0건,"('대구 북구 칠곡중앙대로 531', '(지번) 읍내동 781-1')",053-323-0033
168,미르동물병원,5.0,2건,"('대구 달서구 달구벌대로 1223', '(지번) 이곡동 538-3')",053-581-7535
169,진동물병원,5.0,1건,"('대구 서구 국채보상로 407', '(지번) 비산동 400-9')",053-554-3575
170,동물병원 코디네이터학원,0.0,0건,"('대구 수성구 동대구로 207', '(지번) 황금2동 676-4')",
171,대구종합애완동물경매장,0.0,0건,"('대구 달서구 성당로 23', '(지번) 성당동 211-4')",054-331-0601
172,공중전화 동물병원앞,0.0,0건,"('대구 달서구 성당동 151-2',)",
173,공중전화 다원동물병원앞,0.0,0건,"('대구 수성구 신매동 537-48',)",
